,0
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster016,5
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster017,16
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster018,6
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster019,8
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster020,20
ncbi_tid|1329907|ref|NZ_CP005930.1_cluster021,15
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster001,1
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster002,2
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster003,3
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster004,4
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster005,5
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster006,8
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster007,6
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster008,4
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster009,8
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster010,9
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster011,10
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster012,6
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster013,1
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster014,4
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster015,8
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster016,7
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster017,12
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster018,6
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster019,9
ncbi_tid|1330457|ref|NZ_CP010304.1_cluster020,10
ncbi_tid|1335916|ref|NC_022364.1_cluster001,1
ncbi_tid|1335916|ref|NC_022364.1_cluster002,2
ncbi_tid|1335916|ref|NC_022364.1_cluster003,3
ncbi_tid|1335916|ref|NC_022364.1_cluster004,4
ncbi_tid|1335916|ref|NC_022364.1_cluster005,5
ncbi_tid|1335916|ref|NC_022364.1_cluster006,16
ncbi_tid|1335916|ref|NC_022364.1_cluster007,6
ncbi_tid|1335916|ref|NC_022364.1_cluster008,4
ncbi_tid|1335916|ref|NC_022364.1_cluster009,7
ncbi_tid|1335916|ref|NC_022364.1_cluster010,8
ncbi_tid|1335916|ref|NC_022364.1_cluster011,9
ncbi_tid|1335916|ref|NC_022364.1_cluster012,10
ncbi_tid|1335916|ref|NC_022364.1_cluster013,6
ncbi_tid|1335916|ref|NC_022364.1_cluster014,1
ncbi_tid|1335916|ref|NC_022364.1_cluster015,8
ncbi_tid|1335916|ref|NC_022364.1_cluster016,7
ncbi_tid|1335916|ref|NC_022364.1_cluster017,11
ncbi_tid|1335916|ref|NC_022364.1_cluster018,12
ncbi_tid|1335916|ref|NC_022364.1_cluster019,9
ncbi_tid|1335916|ref|NC_022364.1_cluster020,10
ncbi_tid|1355100|ref|NC_022648.1_cluster001,1
ncbi_tid|1355100|ref|NC_022648.1_cluster002,2
ncbi_tid|1355100|ref|NC_022648.1_cluster003,3
ncbi_tid|1355100|ref|NC_022648.1_cluster004,4
ncbi_tid|1355100|ref|NC_022648.1_cluster005,5
ncbi_tid|1355100|ref|NC_022648.1_cluster006,16
ncbi_tid|1355100|ref|NC_022648.1_cluster007,6
ncbi_tid|1355100|ref|NC_022648.1_cluster008,5
ncbi_tid|1355100|ref|NC_022648.1_cluster009,8
ncbi_tid|1355100|ref|NC_022648.1_cluster010,17
ncbi_tid|1355100|ref|NC_022648.1_cluster011,9
ncbi_tid|1355100|ref|NC_022648.1_cluster012,10
ncbi_tid|1355100|ref|NC_022648.1_cluster013,6
ncbi_tid|1355100|ref|NC_022648.1_cluster014,8
ncbi_tid|1355100|ref|NC_022648.1_cluster015,7
ncbi_tid|1355100|ref|NC_022648.1_cluster016,15
ncbi_tid|1355100|ref|NC_022648.1_cluster017,21
ncbi_tid|1355100|ref|NC_022648.1_cluster018,11
ncbi_tid|1355100|ref|NC_022648.1_cluster019,12
ncbi_tid|1355100|ref|NC_022648.1_cluster020,9
ncbi_tid|1355100|ref|NC_022648.1_cluster021,10
ncbi_tid|1355100|ref|NC_022648.1_cluster022,13
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster001,1
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster002,2
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster003,3
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster004,17
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster005,4
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster006,5
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster007,16
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster008,6
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster009,5
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster010,8
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster011,17
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster012,9
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster013,10
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster014,6
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster015,8
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster016,7
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster017,15
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster018,21
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster019,11
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster020,12
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster021,9
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster022,10
ncbi_tid|1355101|ref|NZ_CP014316.1_cluster023,13
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster001,1
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster002,2
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster003,4
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster004,5
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster005,6
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster006,4
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster007,8
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster008,22
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster009,10
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster010,6
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster011,1
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster012,22
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster013,8
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster014,7
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster015,9
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster016,10
ncbi_tid|1358422|ref|NZ_CP006636.1_cluster017,13
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster001,1
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster002,2
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster003,3
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster004,4
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster005,5
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster006,6
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster007,4
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster008,7
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster009,8
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster010,9
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster011,10
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster012,6
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster013,1
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster014,10
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster015,9
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster016,7
ncbi_tid|1403831|ref|NZ_HG738867.1_cluster017,17
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster001,1
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster002,2
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster003,3
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster004,4
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster005,5
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster006,6
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster007,4
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster008,7
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster009,8
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster010,9
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster011,10
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster012,6
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster013,1
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster014,4
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster015,7
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster016,12
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster017,9
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster018,10
ncbi_tid|1435461|ref|NZ_CP008801.1_cluster019,17
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster001,1
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster002,2
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster003,3
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster004,4
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster005,5
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster006,6
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster007,4
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster008,7
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster009,8
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster010,22
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster011,10
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster012,6
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster013,1
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster014,4
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster015,7
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster016,11
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster017,12
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster018,9
ncbi_tid|1441627|ref|NZ_CP011061.1_cluster019,10
ncbi_tid|155864|ref|NZ_CP008957.1_cluster001,1
ncbi_tid|155864|ref|NZ_CP008957.1_cluster002,2
ncbi_tid|155864|ref|NZ_CP008957.1_cluster003,3
ncbi_tid|155864|ref|NZ_CP008957.1_cluster004,4
ncbi_tid|155864|ref|NZ_CP008957.1_cluster005,5
ncbi_tid|155864|ref|NZ_CP008957.1_cluster006,18
ncbi_tid|155864|ref|NZ_CP008957.1_cluster007,8
ncbi_tid|155864|ref|NZ_CP008957.1_cluster008,6
ncbi_tid|155864|ref|NZ_CP008957.1_cluster009,4
ncbi_tid|155864|ref|NZ_CP008957.1_cluster010,8
ncbi_tid|155864|ref|NZ_CP008957.1_cluster011,9
ncbi_tid|155864|ref|NZ_CP008957.1_cluster012,10
ncbi_tid|155864|ref|NZ_CP008957.1_cluster013,6
ncbi_tid|155864|ref|NZ_CP008957.1_cluster014,1
ncbi_tid|155864|ref|NZ_CP008957.1_cluster015,4
ncbi_tid|155864|ref|NZ_CP008957.1_cluster016,8
ncbi_tid|155864|ref|NZ_CP008957.1_cluster017,7
ncbi_tid|155864|ref|NZ_CP008957.1_cluster018,12
ncbi_tid|155864|ref|NZ_CP008957.1_cluster019,6
ncbi_tid|155864|ref|NZ_CP008957.1_cluster020,9
ncbi_tid|155864|ref|NZ_CP008957.1_cluster021,10
ncbi_tid|199310|ref|NC_004431.1_cluster001,2
ncbi_tid|199310|ref|NC_004431.1_cluster002,3
ncbi_tid|199310|ref|NC_004431.1_cluster003,4
ncbi_tid|199310|ref|NC_004431.1_cluster004,5
ncbi_tid|199310|ref|NC_004431.1_cluster005,6
ncbi_tid|199310|ref|NC_004431.1_cluster006,6
ncbi_tid|199310|ref|NC_004431.1_cluster007,5
ncbi_tid|199310|ref|NC_004431.1_cluster008,8
ncbi_tid|199310|ref|NC_004431.1_cluster009,9
ncbi_tid|199310|ref|NC_004431.1_cluster010,9
ncbi_tid|199310|ref|NC_004431.1_cluster011,9
ncbi_tid|199310|ref|NC_004431.1_cluster012,10
ncbi_tid|199310|ref|NC_004431.1_cluster013,6
ncbi_tid|199310|ref|NC_004431.1_cluster014,8
ncbi_tid|199310|ref|NC_004431.1_cluster015,7
ncbi_tid|199310|ref|NC_004431.1_cluster016,15
ncbi_tid|199310|ref|NC_004431.1_cluster017,11
ncbi_tid|199310|ref|NC_004431.1_cluster018,12
ncbi_tid|199310|ref|NC_004431.1_cluster019,9
ncbi_tid|199310|ref|NC_004431.1_cluster020,10
ncbi_tid|199310|ref|NC_004431.1_cluster021,13
ncbi_tid|216592|ref|NC_017626.1_cluster001,1
ncbi_tid|216592|ref|NC_017626.1_cluster002,2
ncbi_tid|216592|ref|NC_017626.1_cluster003,4
ncbi_tid|216592|ref|NC_017626.1_cluster004,5
ncbi_tid|216592|ref|NC_017626.1_cluster005,6
ncbi_tid|216592|ref|NC_017626.1_cluster006,4
ncbi_tid|216592|ref|NC_017626.1_cluster007,8
ncbi_tid|216592|ref|NC_017626.1_cluster008,17
ncbi_tid|216592|ref|NC_017626.1_cluster009,9
ncbi_tid|216592|ref|NC_017626.1_cluster010,10
ncbi_tid|216592|ref|NC_017626.1_cluster011,6
ncbi_tid|216592|ref|NC_017626.1_cluster012,1
ncbi_tid|216592|ref|NC_017626.1_cluster013,4
ncbi_tid|216592|ref|NC_017626.1_cluster014,7
ncbi_tid|216592|ref|NC_017626.1_cluster015,11
ncbi_tid|216592|ref|NC_017626.1_cluster016,12
ncbi_tid|216592|ref|NC_017626.1_cluster017,6
ncbi_tid|216592|ref|NC_017626.1_cluster018,9
ncbi_tid|216592|ref|NC_017626.1_cluster019,10
ncbi_tid|316385|ref|NC_010473.1_cluster001,2
ncbi_tid|316385|ref|NC_010473.1_cluster002,2
ncbi_tid|316385|ref|NC_010473.1_cluster003,3
ncbi_tid|316385|ref|NC_010473.1_cluster004,4
ncbi_tid|316385|ref|NC_010473.1_cluster005,5
ncbi_tid|316385|ref|NC_010473.1_cluster006,6
ncbi_tid|316385|ref|NC_010473.1_cluster007,4
ncbi_tid|316385|ref|NC_010473.1_cluster008,7
ncbi_tid|316385|ref|NC_010473.1_cluster009,8
ncbi_tid|316385|ref|NC_010473.1_cluster010,9
ncbi_tid|316385|ref|NC_010473.1_cluster011,10
ncbi_tid|316385|ref|NC_010473.1_cluster012,6
ncbi_tid|316385|ref|NC_010473.1_cluster013,1
ncbi_tid|316385|ref|NC_010473.1_cluster014,4
ncbi_tid|316385|ref|NC_010473.1_cluster015,7
ncbi_tid|316385|ref|NC_010473.1_cluster016,12
ncbi_tid|316385|ref|NC_010473.1_cluster017,9
ncbi_tid|316385|ref|NC_010473.1_cluster018,10
ncbi_tid|316385|ref|NC_010473.1_cluster019,17
ncbi_tid|316401|ref|NC_017633.1_cluster001,1
ncbi_tid|316401|ref|NC_017633.1_cluster002,2
ncbi_tid|316401|ref|NC_017633.1_cluster003,3
ncbi_tid|316401|ref|NC_017633.1_cluster004,4
ncbi_tid|316401|ref|NC_017633.1_cluster005,5
ncbi_tid|316401|ref|NC_017633.1_cluster006,6
ncbi_tid|316401|ref|NC_017633.1_cluster007,4
ncbi_tid|316401|ref|NC_017633.1_cluster008,7
ncbi_tid|316401|ref|NC_017633.1_cluster009,8
ncbi_tid|316401|ref|NC_017633.1_cluster010,17
ncbi_tid|316401|ref|NC_017633.1_cluster011,9
ncbi_tid|316401|ref|NC_017633.1_cluster012,10
ncbi_tid|316401|ref|NC_017633.1_cluster013,6
ncbi_tid|316401|ref|NC_017633.1_cluster014,1
ncbi_tid|316401|ref|NC_017633.1_cluster015,4
ncbi_tid|316401|ref|NC_017633.1_cluster016,8
ncbi_tid|316401|ref|NC_017633.1_cluster017,7
ncbi_tid|316401|ref|NC_017633.1_cluster018,6
ncbi_tid|316401|ref|NC_017633.1_cluster019,11
ncbi_tid|316401|ref|NC_017633.1_cluster020,12
ncbi_tid|316401|ref|NC_017633.1_cluster021,9
ncbi_tid|316401|ref|NC_017633.1_cluster022,10
ncbi_tid|316401|ref|NC_017633.1_cluster023,17
ncbi_tid|316407|ref|NC_007779.1_cluster001,1
ncbi_tid|316407|ref|NC_007779.1_cluster002,2
ncbi_tid|316407|ref|NC_007779.1_cluster003,3
ncbi_tid|316407|ref|NC_007779.1_cluster004,4
ncbi_tid|316407|ref|NC_007779.1_cluster005,5
ncbi_tid|316407|ref|NC_007779.1_cluster006,6
ncbi_tid|316407|ref|NC_007779.1_cluster007,4
ncbi_tid|316407|ref|NC_007779.1_cluster008,7
ncbi_tid|316407|ref|NC_007779.1_cluster009,8
ncbi_tid|316407|ref|NC_007779.1_cluster010,9
ncbi_tid|316407|ref|NC_007779.1_cluster011,10
ncbi_tid|316407|ref|NC_007779.1_cluster012,6
ncbi_tid|316407|ref|NC_007779.1_cluster013,1
ncbi_tid|316407|ref|NC_007779.1_cluster014,4
ncbi_tid|316407|ref|NC_007779.1_cluster015,7
ncbi_tid|316407|ref|NC_007779.1_cluster016,12
ncbi_tid|316407|ref|NC_007779.1_cluster017,10
ncbi_tid|316407|ref|NC_007779.1_cluster018,9
ncbi_tid|316407|ref|NC_007779.1_cluster019,17
ncbi_tid|316435|ref|NZ_CP007799.1_cluster001,2
ncbi_tid|316435|ref|NZ_CP007799.1_cluster002,3
ncbi_tid|316435|ref|NZ_CP007799.1_cluster003,4
ncbi_tid|316435|ref|NZ_CP007799.1_cluster004,5
ncbi_tid|316435|ref|NZ_CP007799.1_cluster005,6
ncbi_tid|316435|ref|NZ_CP007799.1_cluster006,6
ncbi_tid|316435|ref|NZ_CP007799.1_cluster007,5
ncbi_tid|316435|ref|NZ_CP007799.1_cluster008,8
ncbi_tid|316435|ref|NZ_CP007799.1_cluster009,2
ncbi_tid|316435|ref|NZ_CP007799.1_cluster010,2
ncbi_tid|316435|ref|NZ_CP007799.1_cluster011,9
ncbi_tid|316435|ref|NZ_CP007799.1_cluster012,10
ncbi_tid|316435|ref|NZ_CP007799.1_cluster013,6
ncbi_tid|316435|ref|NZ_CP007799.1_cluster014,8
ncbi_tid|316435|ref|NZ_CP007799.1_cluster015,7
ncbi_tid|316435|ref|NZ_CP007799.1_cluster016,15
ncbi_tid|316435|ref|NZ_CP007799.1_cluster017,11
ncbi_tid|316435|ref|NZ_CP007799.1_cluster018,12
ncbi_tid|316435|ref|NZ_CP007799.1_cluster019,9
ncbi_tid|316435|ref|NZ_CP007799.1_cluster020,10
ncbi_tid|316435|ref|NZ_CP007799.1_cluster021,13
ncbi_tid|316435|ref|NZ_CP007799.1_cluster022,21
ncbi_tid|331111|ref|NC_009801.1_cluster001,1
ncbi_tid|331111|ref|NC_009801.1_cluster002,2
ncbi_tid|331111|ref|NC_009801.1_cluster003,3
ncbi_tid|331111|ref|NC_009801.1_cluster004,4
ncbi_tid|331111|ref|NC_009801.1_cluster005,5
ncbi_tid|331111|ref|NC_009801.1_cluster006,6
ncbi_tid|331111|ref|NC_009801.1_cluster007,4
ncbi_tid|331111|ref|NC_009801.1_cluster008,7
ncbi_tid|331111|ref|NC_009801.1_cluster009,8
ncbi_tid|331111|ref|NC_009801.1_cluster010,9
ncbi_tid|331111|ref|NC_009801.1_cluster011,10
ncbi_tid|331111|ref|NC_009801.1_cluster012,6
ncbi_tid|331111|ref|NC_009801.1_cluster013,1
ncbi_tid|331111|ref|NC_009801.1_cluster014,4
ncbi_tid|331111|ref|NC_009801.1_cluster015,8
ncbi_tid|331111|ref|NC_009801.1_cluster016,7
ncbi_tid|331111|ref|NC_009801.1_cluster017,11
ncbi_tid|331111|ref|NC_009801.1_cluster018,12
ncbi_tid|331111|ref|NC_009801.1_cluster019,9
ncbi_tid|331111|ref|NC_009801.1_cluster020,10
ncbi_tid|331112|ref|NC_009800.1_cluster001,1
ncbi_tid|331112|ref|NC_009800.1_cluster002,2
ncbi_tid|331112|ref|NC_009800.1_cluster003,4
ncbi_tid|331112|ref|NC_009800.1_cluster004,5
ncbi_tid|331112|ref|NC_009800.1_cluster005,6
ncbi_tid|331112|ref|NC_009800.1_cluster006,4
ncbi_tid|331112|ref|NC_009800.1_cluster007,7
ncbi_tid|331112|ref|NC_009800.1_cluster008,22
ncbi_tid|331112|ref|NC_009800.1_cluster009,10
ncbi_tid|331112|ref|NC_009800.1_cluster010,6
ncbi_tid|331112|ref|NC_009800.1_cluster011,1
ncbi_tid|331112|ref|NC_009800.1_cluster012,4
ncbi_tid|331112|ref|NC_009800.1_cluster013,8
ncbi_tid|331112|ref|NC_009800.1_cluster014,7
ncbi_tid|331112|ref|NC_009800.1_cluster015,11
ncbi_tid|331112|ref|NC_009800.1_cluster016,9
ncbi_tid|331112|ref|NC_009800.1_cluster017,10
ncbi_tid|331112|ref|NC_009800.1_cluster018,13
ncbi_tid|362663|ref|NC_008253.1_cluster001,2
ncbi_tid|362663|ref|NC_008253.1_cluster002,3
ncbi_tid|362663|ref|NC_008253.1_cluster003,4
ncbi_tid|362663|ref|NC_008253.1_cluster004,5
ncbi_tid|362663|ref|NC_008253.1_cluster005,16
ncbi_tid|362663|ref|NC_008253.1_cluster006,6
ncbi_tid|362663|ref|NC_008253.1_cluster007,8
ncbi_tid|362663|ref|NC_008253.1_cluster008,2
ncbi_tid|362663|ref|NC_008253.1_cluster009,2
ncbi_tid|362663|ref|NC_008253.1_cluster010,9
ncbi_tid|362663|ref|NC_008253.1_cluster011,10
ncbi_tid|362663|ref|NC_008253.1_cluster012,6
ncbi_tid|362663|ref|NC_008253.1_cluster013,8
ncbi_tid|362663|ref|NC_008253.1_cluster014,7
ncbi_tid|362663|ref|NC_008253.1_cluster015,11
ncbi_tid|362663|ref|NC_008253.1_cluster016,12
ncbi_tid|362663|ref|NC_008253.1_cluster017,9
ncbi_tid|362663|ref|NC_008253.1_cluster018,10
ncbi_tid|362663|ref|NC_008253.1_cluster019,13
ncbi_tid|362663|ref|NC_008253.1_cluster020,17
ncbi_tid|364106|ref|NC_007946.1_cluster001,2
ncbi_tid|364106|ref|NC_007946.1_cluster002,3
ncbi_tid|364106|ref|NC_007946.1_cluster003,4
ncbi_tid|364106|ref|NC_007946.1_cluster004,5
ncbi_tid|364106|ref|NC_007946.1_cluster005,6
ncbi_tid|364106|ref|NC_007946.1_cluster006,8
ncbi_tid|364106|ref|NC_007946.1_cluster007,2
ncbi_tid|364106|ref|NC_007946.1_cluster008,2
ncbi_tid|364106|ref|NC_007946.1_cluster009,9
ncbi_tid|364106|ref|NC_007946.1_cluster010,10
ncbi_tid|364106|ref|NC_007946.1_cluster011,6
ncbi_tid|364106|ref|NC_007946.1_cluster012,8
ncbi_tid|364106|ref|NC_007946.1_cluster013,7
ncbi_tid|364106|ref|NC_007946.1_cluster014,11
ncbi_tid|364106|ref|NC_007946.1_cluster015,12
ncbi_tid|364106|ref|NC_007946.1_cluster016,9
ncbi_tid|364106|ref|NC_007946.1_cluster017,10
ncbi_tid|364106|ref|NC_007946.1_cluster018,13
ncbi_tid|364106|ref|NC_007946.1_cluster019,17
ncbi_tid|364106|ref|NC_007946.1_cluster020,13
ncbi_tid|37762|ref|NZ_CP014269.1_cluster001,10
ncbi_tid|37762|ref|NZ_CP014269.1_cluster002,17
ncbi_tid|37762|ref|NZ_CP014269.1_cluster003,1
ncbi_tid|37762|ref|NZ_CP014269.1_cluster004,2
ncbi_tid|37762|ref|NZ_CP014269.1_cluster005,3
ncbi_tid|37762|ref|NZ_CP014269.1_cluster006,4
ncbi_tid|37762|ref|NZ_CP014269.1_cluster007,5
ncbi_tid|37762|ref|NZ_CP014269.1_cluster008,6
ncbi_tid|37762|ref|NZ_CP014269.1_cluster009,4
ncbi_tid|37762|ref|NZ_CP014269.1_cluster010,8
ncbi_tid|37762|ref|NZ_CP014269.1_cluster011,9
ncbi_tid|37762|ref|NZ_CP014269.1_cluster012,10
ncbi_tid|37762|ref|NZ_CP014269.1_cluster013,6
ncbi_tid|37762|ref|NZ_CP014269.1_cluster014,1
ncbi_tid|37762|ref|NZ_CP014269.1_cluster015,8
ncbi_tid|37762|ref|NZ_CP014269.1_cluster016,7
ncbi_tid|37762|ref|NZ_CP014269.1_cluster017,11
ncbi_tid|37762|ref|NZ_CP014269.1_cluster018,12
ncbi_tid|37762|ref|NZ_CP014269.1_cluster019,9
ncbi_tid|386585|ref|NC_002695.1_cluster001,1
ncbi_tid|386585|ref|NC_002695.1_cluster002,2
ncbi_tid|386585|ref|NC_002695.1_cluster003,3
ncbi_tid|386585|ref|NC_002695.1_cluster004,4
ncbi_tid|386585|ref|NC_002695.1_cluster005,5
ncbi_tid|386585|ref|NC_002695.1_cluster006,18
ncbi_tid|386585|ref|NC_002695.1_cluster007,8
ncbi_tid|386585|ref|NC_002695.1_cluster008,6
ncbi_tid|386585|ref|NC_002695.1_cluster009,4
ncbi_tid|386585|ref|NC_002695.1_cluster010,8
ncbi_tid|386585|ref|NC_002695.1_cluster011,9
ncbi_tid|386585|ref|NC_002695.1_cluster012,10
ncbi_tid|386585|ref|NC_002695.1_cluster013,6
ncbi_tid|386585|ref|NC_002695.1_cluster014,1
ncbi_tid|386585|ref|NC_002695.1_cluster015,4
ncbi_tid|386585|ref|NC_002695.1_cluster016,8
ncbi_tid|386585|ref|NC_002695.1_cluster017,7
ncbi_tid|386585|ref|NC_002695.1_cluster018,12
ncbi_tid|386585|ref|NC_002695.1_cluster019,6
ncbi_tid|386585|ref|NC_002695.1_cluster020,9
ncbi_tid|386585|ref|NC_002695.1_cluster021,10
ncbi_tid|405955|ref|NC_008563.1_cluster001,2
ncbi_tid|405955|ref|NC_008563.1_cluster002,3
ncbi_tid|405955|ref|NC_008563.1_cluster003,4
ncbi_tid|405955|ref|NC_008563.1_cluster004,5
ncbi_tid|405955|ref|NC_008563.1_cluster005,16
ncbi_tid|405955|ref|NC_008563.1_cluster006,6
ncbi_tid|405955|ref|NC_008563.1_cluster007,8
ncbi_tid|405955|ref|NC_008563.1_cluster008,17
ncbi_tid|405955|ref|NC_008563.1_cluster009,9
ncbi_tid|405955|ref|NC_008563.1_cluster010,10
ncbi_tid|405955|ref|NC_008563.1_cluster011,6
ncbi_tid|405955|ref|NC_008563.1_cluster012,8
ncbi_tid|405955|ref|NC_008563.1_cluster013,7
ncbi_tid|405955|ref|NC_008563.1_cluster014,11
ncbi_tid|405955|ref|NC_008563.1_cluster015,12
ncbi_tid|405955|ref|NC_008563.1_cluster016,9
ncbi_tid|405955|ref|NC_008563.1_cluster017,10
ncbi_tid|405955|ref|NC_008563.1_cluster018,13
ncbi_tid|405955|ref|NC_008563.1_cluster019,13
ncbi_tid|405955|ref|NC_008563.1_cluster020,23
ncbi_tid|405955|ref|NC_008563.1_cluster021,15
ncbi_tid|409438|ref|NC_011415.1_cluster001,16
ncbi_tid|409438|ref|NC_011415.1_cluster002,1
ncbi_tid|409438|ref|NC_011415.1_cluster003,2
ncbi_tid|409438|ref|NC_011415.1_cluster004,3
ncbi_tid|409438|ref|NC_011415.1_cluster005,4
ncbi_tid|409438|ref|NC_011415.1_cluster006,5
ncbi_tid|409438|ref|NC_011415.1_cluster007,6
ncbi_tid|409438|ref|NC_011415.1_cluster008,4
ncbi_tid|409438|ref|NC_011415.1_cluster009,7
ncbi_tid|409438|ref|NC_011415.1_cluster010,8
ncbi_tid|409438|ref|NC_011415.1_cluster011,9
ncbi_tid|409438|ref|NC_011415.1_cluster012,10
